title,production_date,runtime_minutes,director,average_rating,num_votes,approval_index,prod_budget,domestic_gross,worldwide_gross,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,film-noir,history,horror,music,musical,mystery,news,romance,sci-fi,sport,thriller,war,western
Escape from the Planet of the Apes,31536000,98.0,424,6.3,36281.0,4.7347232185434365,2500000,12300000,12300000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hud,-208137600,112.0,1099,7.8,22473.0,5.618546527281506,2500000,10000000,10000000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Spectacular Now,1375401600,95.0,682,7.1,155857.0,6.114147194562692,2500000,6852971,6916951,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
My Own Private Idaho,686102400,104.0,596,7.0,58002.0,5.517092680305732,2500000,6401336,6402775,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before Sunrise,791164800,101.0,1423,8.1,312901.0,7.409214027693852,2500000,5274005,5691852,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Hunt for the Wilderpeople,1459468800,101.0,1665,7.8,132812.0,6.638123448360428,2500000,5205471,23900842,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robot & Frank,1345161600,89.0,658,7.0,64647.0,5.572954532800219,2500000,3317468,4934356,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timbuktu,1418256000,96.0,1,7.1,17684.0,4.977295811457098,2500000,1076075,6815821,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Lost Medallion: The Adventures of Billy Stone,1362096000,97.0,143,4.8,1805.0,2.5162798594201448,2500000,549632,549632,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
My Life Without Me,1064534400,106.0,637,7.4,25282.0,5.387780436511101,2500000,432360,12267275,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Fuel,1226620800,90.0,897,7.3,771.0,3.4386326531431437,2500000,174255,174255,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuel,1226620800,87.0,1177,8.6,60.0,2.458850600535027,2500000,174255,174255,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Underdogs,1376611200,106.0,903,6.4,9861.0,4.1985507794338455,2500000,35017,1392649,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Underdogs,1376611200,102.0,428,5.8,1065.0,2.8428295584751506,2500000,35017,1392649,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Get on the Bus,845424000,120.0,1591,6.9,5807.0,4.268039464533674,2400000,5691854,5691854,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Idiocracy,1157068800,84.0,1211,6.5,166850.0,5.618913165217628,2400000,444093,500296,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bathing Beauty,-805161600,101.0,566,6.4,1738.0,3.3811714460997018,2361000,3500000,3500000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Do You Believe?,1426809600,120.0,852,6.0,7911.0,3.8306357483554185,2300000,12985600,14628921,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Show Boat,-582595200,108.0,566,6.9,5116.0,4.203722373298521,2300000,11000000,11000000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Dancer, Texas Pop. 81",893980800,97.0,1699,6.7,2539.0,3.732689970324264,2300000,574838,574838,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Mouthful of Air,1635465600,105.0,57,6.0,1894.0,3.19955423812867,2300000,269435,269435,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontera,1409875200,103.0,1143,6.6,8139.0,4.24067950125337,2300000,59696,59696,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
The French Connection,55814400,104.0,1805,7.7,125144.0,6.5176380246204335,2200000,41158757,41159421,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Last Sin Eater,1170979200,117.0,1166,5.6,1931.0,2.985433395492897,2200000,388390,388390,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Valley of Decision,-778377600,119.0,1672,7.3,2139.0,3.9866905330070352,2160000,9132000,9132000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Best Years of Our Lives,-729388800,170.0,1813,8.1,65837.0,6.480290949205962,2100000,23600000,23600000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Bully,994982400,108.0,994,6.9,38990.0,5.234762070729168,2100000,881824,1381824,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackass: The Movie,1035504000,85.0,719,6.6,97091.0,5.444462047905993,2000000,64282312,79282312,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Courageous,1317340800,130.0,38,6.8,20916.0,4.845396519560736,2000000,35017223,35680886,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Notorious,-737856000,102.0,47,7.9,102525.0,6.574475720779037,2000000,24464742,24493053,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
In the Heat of the Night,-76291200,110.0,1273,7.9,77950.0,6.415192352520405,2000000,24379978,24407647,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Sleeper,124934400,89.0,1816,7.1,43504.0,5.44754130076805,2000000,18344729,18344729,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Eighth Grade,1531440000,93.0,155,7.4,77376.0,5.99679988040763,2000000,13539710,14348020,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boys Don't Cry,939340800,118.0,973,7.5,99323.0,6.217407233260274,2000000,11540607,20741000,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lolita,-238377600,153.0,1595,7.5,103367.0,6.239429324870808,2000000,9250000,9250000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Boom Town,-925862400,119.0,650,7.1,3547.0,4.138056864243767,2000000,9172000,9172000,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Gentleman's Agreement,-698716800,118.0,459,7.2,16867.0,5.024197929665739,2000000,7800000,7800000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Hustler,-260928000,134.0,1472,8.0,83305.0,6.537173249121397,2000000,7600000,7600000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Witchboard,536371200,98.0,970,5.6,7399.0,3.5389034171898075,2000000,7369373,7369373,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
Smoke Signals,898819200,89.0,235,7.2,12006.0,4.844111240551802,2000000,6719300,7756617,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meet the Mormons,1412899200,78.0,153,6.5,2023.0,3.508680877773445,2000000,6047363,6049171,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Florida Project,1507248000,111.0,1553,7.6,117207.0,6.394642503324936,2000000,5904366,11275645,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All Saints,1503446400,108.0,1622,6.2,1810.0,3.2899067773476336,2000000,5802208,5946780,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before Sunset,1088726400,80.0,1423,8.1,267961.0,7.316813437031099,2000000,5792822,11217346,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Company You Keep,1355961600,125.0,1470,6.4,33915.0,4.780215397697186,2000000,5132442,21087760,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Thirteen,1061337600,100.0,217,6.8,90732.0,5.579550228648834,2000000,4601043,9505996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Touching the Void,1071187200,106.0,962,8.0,36582.0,6.052782910767213,2000000,4593598,15396525,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inside Job,1286496000,109.0,221,8.2,76421.0,6.651861684899648,2000000,4311834,7799257,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
